id,city,address,numRooms,priceRange,numBaths,walkScore,furnished,latitude,longitude,listingType
155945710,SOUTH SAN FRANCISCO,119 NORTHCREST DR,3,554334,2,60,No,37.670316,-122.421669,Single Family Residence / Townhouse
148009390,SOUTH SAN FRANCISCO,7 ESTATE CT,3,605844,2,77,No,37.662966,-122.433195,Single Family Residence / Townhouse
3729012,SOUTH SAN FRANCISCO,27 MONTE VISTA WAY,4,967730,3,68,No,37.669697,-122.410043,Single Family Residence / Townhouse
17717493,SOUTH SAN FRANCISCO,1 MANDALAY PL UNIT 1208,1,630354,1,81,Yes,37.666157,-122.40364,Condominium (residential)
22493017,SOUTH SAN FRANCISCO,1 MANDALAY PL UNIT 1508,1,293066,1,81,Yes,37.666157,-122.40364,Condominium (residential)
24098011,SOUTH SAN FRANCISCO,1 MANDALAY PL UNIT 708,1,605831,1,81,Yes,37.666157,-122.40364,Condominium (residential)
53944664,SOUTH SAN FRANCISCO,1 MANDALAY PL UNIT 908,1,541992,1,81,No,37.666157,-122.40364,Condominium (residential)
53944666,SOUTH SAN FRANCISCO,1 MANDALAY PL UNIT 1708,1,488969,1,81,No,37.666157,-122.40364,Condominium (residential)
140996195,SOUTH SAN FRANCISCO,1 MANDALAY PL UNIT 1608,1,684617,1,81,Yes,37.666157,-122.40364,Condominium (residential)
140996203,SOUTH SAN FRANCISCO,1 MANDALAY PL UNIT 1008,1,589133,1,81,No,37.666157,-122.40364,Condominium (residential)
195671122,GOLDEN VALLEY,500 YOSEMITE AVE N,3,467000,2,75,No,44.983664,-93.354162,Single Family Residence / Townhouse
194176945,GOLDEN VALLEY,1820 WISCONSIN AVE N,4,413000,2,75,Yes,44.998623,-93.384717,Single Family Residence / Townhouse
38501698,GOLDEN VALLEY,520 VALLEYWOOD CIR,4,577000,3,72,Yes,44.984144,-93.353107,Single Family Residence / Townhouse
53548622,GOLDEN VALLEY,2575 WINFIELD AVE,3,314000,2,75,No,45.006549,-93.35052,Single Family Residence / Townhouse
322491130,GOLDEN VALLEY,2492 WINNETKA AVE N,3,305000,3,88,Yes,45.005634,-93.379968,Single Family Residence / Townhouse
195644802,GOLDEN VALLEY,1031 TOLEDO AVE N,3,368000,2,71,No,44.989165,-93.346719,Single Family Residence / Townhouse
188305189,GOLDEN VALLEY,7182 HAROLD AVE,5,541000,4,85,No,44.98241,-93.371249,Single Family Residence / Townhouse
144046407,GOLDEN VALLEY,330 GEORGIA AVE N,3,418000,2,79,Yes,44.981671,-93.363085,Single Family Residence / Townhouse
201847552,GOLDEN VALLEY,1437 WISCONSIN AVE N,4,377000,2,76,No,44.996117,-93.385007,Single Family Residence / Townhouse
34149940,LOS ANGELES,1511 E 23RD ST,8,787629,4,91,Yes,34.018066,-118.248139,Duplex, Triplex, Quadplex
13302684,LOS ANGELES,1262 E ADAMS BLVD,3,401000,1,96,No,34.016518,-118.250779,Single Family Residence / Townhouse
154650151,LOS ANGELES,743 E JEFFERSON BLVD,,301413,,91,Yes,34.015016,-118.263691,Duplex, Triplex, Quadplex
17726340,LOS ANGELES,2322 HOOPER AVE,8,276340,4,92,Yes,34.017509,-118.248993,Duplex, Triplex, Quadplex
